"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","99510","14302",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","147031","19875",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","187614","41923",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","131734","30661",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","125880","15577",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","91961","9927",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","86419","5416",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","138173","19402",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","41250","9132",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","64640","8257",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","77605","5450",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","94288","12794",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","136010","27491",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","86207","10189",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","79960","8301",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","119387","35620",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","115642","19229",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","107847","16351",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","130673","15021",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","101758","7594",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","149135","15431",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","194167","55308",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","98446","9787",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","108583","14343",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","108563","24497",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","89427","16502",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","80817","16400",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","79138","17000",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","99710","5619",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","77945","19359",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","77813","14013",
